alt,density,pressure,temperature,windsE,windsN,windsV
9949.94995,0.424282332,28804.21021,236.4754254,15.37475475,-5.685055055,0
10090.09009,0.417796847,28216.52252,235.2662162,16.25063063,-5.413783784,0
10230.23023,0.411374525,27636.75375,234.0279279,17.363003,-5.043263263,0
10370.37037,0.405019259,27065,232.7737037,18.64555556,-4.580740741,0
10510.51051,0.398712282,26500.16817,231.5285586,20.06561562,-4.026906907,0
10650.65065,0.392465916,25941.9039,230.2789489,21.69326326,-3.361161161,0
10790.79079,0.386228889,25385.46847,228.9574875,23.55475475,-2.47985986,0
10930.93093,0.379900781,24829.96697,227.6894595,25.47447447,-1.524204204,0
11071.07107,0.373237017,24271.55856,226.5543243,27.33813814,-0.501181181,0
11211.21121,0.366571862,23719.93994,225.4303103,29.19359359,0.501841842,0
11351.35135,0.359819459,23169.18919,224.3143243,31.11864865,1.535135135,0
11491.49149,0.353059259,22622.0981,223.2255155,33.06173173,2.54958959,0
11631.63163,0.34644025,22063.3003,221.883994,35.4813013,3.413363363,0
11771.77177,0.340091562,21512.33934,220.3960661,37.81594595,3.845075075,0
11911.91191,0.333231081,21028.56857,219.868999,38.66720721,4.93028028,0
12052.05205,0.326404655,20502.2022,218.863994,39.98572573,5.637387387,0
12192.19219,0.318399399,19891.30631,217.7063664,42.03726727,5.634834835,0
12332.33233,0.31173964,19421.43944,217.1136036,42.03314314,5.906326326,0
12472.47247,0.305516096,18986.86887,216.5583684,41.18881882,6.561181181,0
12612.61261,0.298355495,18500.86486,216.0846847,40.51306306,6.58990991,0
12752.75275,0.291220711,18025.80581,215.7081181,39.58435435,6.446146146,0
12892.89289,0.284176066,17564.24024,215.4042142,38.43112112,6.203503504,0
13033.03303,0.277224775,17118.93694,215.1936637,36.91690691,5.727867868,0
13173.17317,0.270344515,16687.55355,215.1053654,35.0224024,4.962422422,0
13313.31331,0.263594274,16270.52452,215.1326627,32.78698699,3.876186186,0
13453.45345,0.257071832,15869.7958,215.1606907,30.55543544,2.540810811,0
13593.59359,0.250775085,15482.55355,215.1887187,28.46289289,1.134704705,0
13733.73373,0.244753303,15111.29229,215.2032533,26.62844845,-0.24023023,0
13873.87387,0.239094144,14750.62162,215.057027,24.91873874,-1.376666667,0
14014.01401,0.233698869,14401.94595,214.818979,23.31285285,-2.288478478,0
14154.15415,0.228436296,14064.65465,214.6195996,21.86845846,-3.046186186,0
14294.29429,0.223298258,13737.23724,214.4562763,20.54249249,-3.723183183,0
14434.43443,0.218314795,13420.55556,214.3052352,19.4224024,-4.283633634,0
14574.57457,0.213454635,13113.17317,214.137968,18.50018018,-4.708808809,0
14714.71471,0.20874,12814.24625,213.9896997,17.70054054,-4.941771772,0
14854.85485,0.204106246,12523.54755,213.8806306,16.98218218,-4.933203203,0
14994.99499,0.199552162,12239.11011,213.802002,16.31402402,-4.661011011,0
15135.13514,0.195049189,11961.13514,213.742973,15.87756757,-4.044864865,0
15275.27528,0.190578719,11687.96597,213.7375275,15.50439439,-3.303403403,0
15415.41542,0.186151331,11419.71071,213.7907908,15.19533534,-2.452882883,0
15555.55556,0.181731111,11154.55556,213.9,14.97111111,-1.564444444,0
15695.6957,0.177325586,10893.00601,214.0835435,14.8043043,-0.724964965,0
15835.83584,0.172955506,10637.13714,214.3352553,14.64266266,0.03992993,0
15975.97598,0.168612342,10385.003,214.6523423,14.38045045,0.75987988,0
16116.11612,0.164323293,10139.05465,215.0167367,13.98198198,1.430910911,0
16256.25626,0.160085435,9897.458058,215.4512713,13.4606006,2.013773774,0
16396.3964,0.155906667,9660.85045,215.9373874,12.91405405,2.507747748,0
16536.53654,0.151824094,9430.637738,216.4624925,12.33654655,2.94960961,0
16676.67668,0.14782005,9205.784084,217.0167067,11.74029029,3.362362362,0
16816.81682,0.143920901,8986.41982,217.5772673,11.15105105,3.718678679,0
16956.95696,0.140146336,8773.065866,218.1264364,10.59356356,3.995435435,0
17097.0971,0.136504895,8564.981782,218.6492593,10.07074074,4.195935936,0
17237.23724,0.13297024,8362.723123,219.1540541,9.542222222,4.306066066,0
17377.37738,0.129547467,8165.735936,219.6508208,9.015965966,4.373213213,0
17517.51752,0.126238849,7974.244044,220.1425526,8.489199199,4.404744745,0
17657.65766,0.123052703,7788.153153,220.562973,8.071261261,4.374234234,0
17797.7978,0.119948448,7606.832032,220.9833934,7.656386386,4.36022022,0
17937.93794,0.116953303,7431.208709,221.4038138,7.258948949,4.367587588,0
